id,country_name,episode_location_name
1,Nicaragua,Nicaragua
2,Cambodia,Cambodia
3,Bahamas,Bahamas
4,Guyana,Guyana
5,Argentina,Argentina
6,USA,Texas
7,Trinidad,Trinidad
8,Tanzania,Tanzania
9,Croatia,Croatia
10,USA,Arizona
11,USA,Alaska
12,Mexico,Mexico
13,USA,Mississippi
14,USA,Florida
15,Ecuador,Ecuador
16,India,India
17,Zambia,Zambia
18,Panama,Panama
19,Belize,Belize
20,Colombia,Colombia
21,Fiji,Fiji
22,Namibia,Namibia
23,USA,Georgia
24,Brazil,Brazil
25,Philippines,Philippines
26,USA,Montana
27,Madagascar,Madagascar
28,Peru,Peru
29,Bulgaria,Bulgaria
30,South Africa,South Africa
31,USA,Alabama
32,Thailand,Thailand
33,Costa Rica,Costa Rica
34,USA,Louisiana
35,Dominica,Dominica
36,Canada,Canada
37,Maldives,Maldives
38,Botswana,Botswana
39,Australia,Australia
40,Bolivia,Bolivia
41,Mozambique,Mozambique
42,USA,Colorado
43,Montserrat,Montserrat
44,Honduras,Honduras
45,Malaysia,Malaysia
